ASSERTION	AAMAAQ9DcmVhdGUgbmV3IHVzZXIDAAECAQAAAAAAAGCDQA==
ASSERTION	AAMAAQlHZXQgdXNlcnMDAAECAQAAAAAAAABpQA==
ASSERTION	AAMAAQhHZXQgdXNlcgMAAQIBAAAAAAAAQGVA
ASSERTION	AAMAAQtVcGRhdGUgdXNlcgMAAQIBAAAAAAAAUIRA
ASSERTION	AAECAAMBAAAAAAAAABRA
RUN	simulations.ReqresSimulation	reqressimulation	1606851497087	 	3.4.1
USER	Get users scenario	END	1606851519067
REQUEST		Get user	1606851519040	1606851519088	OK	 
USER	Get users scenario	START	1606851519183
REQUEST		Get users	1606851519184	1606851519206	OK	 
REQUEST		Get user	1606851519183	1606851519240	OK	 
USER	Get users scenario	START	1606851519326
REQUEST		Get user	1606851519326	1606851519377	OK	 
REQUEST		Get users	1606851519372	1606851519392	OK	 
USER	Get users scenario	END	1606851519431
USER	Get users scenario	START	1606851519468
REQUEST		Get user	1606851519468	1606851519519	OK	 
REQUEST		Get users	1606851519580	1606851519600	OK	 
USER	Get users scenario	START	1606851519611
REQUEST		Get user	1606851519612	1606851519660	OK	 
USER	Get users scenario	END	1606851519741
USER	Get users scenario	START	1606851519754
REQUEST		Get user	1606851519755	1606851519802	OK	 
REQUEST		Get users	1606851519791	1606851519809	OK	 
USER	Get users scenario	START	1606851519896
REQUEST		Get user	1606851519897	1606851519945	OK	 
REQUEST		Get users	1606851519981	1606851520009	OK	 
USER	Get users scenario	START	1606851520039
USER	Get users scenario	END	1606851520063
REQUEST		Get user	1606851520040	1606851520087	OK	 
USER	Get users scenario	START	1606851520183
REQUEST		Get users	1606851520180	1606851520226	OK	 
REQUEST		Get user	1606851520183	1606851520232	OK	 
USER	Get users scenario	START	1606851520326
REQUEST		Get user	1606851520326	1606851520374	OK	 
REQUEST		Get users	1606851520379	1606851520404	OK	 
USER	Get users scenario	END	1606851520410
USER	Get users scenario	START	1606851520437
REQUEST		Get user	1606851520437	1606851520485	OK	 
REQUEST		Get users	1606851520524	1606851520541	OK	 
USER	Get users scenario	START	1606851520548
REQUEST		Get user	1606851520548	1606851520596	OK	 
USER	Get users scenario	END	1606851520599
USER	Get users scenario	START	1606851520659
REQUEST		Get users	1606851520661	1606851520681	OK	 
REQUEST		Get user	1606851520659	1606851520713	OK	 
USER	Get users scenario	START	1606851520770
USER	Get users scenario	END	1606851520793
