ASSERTION	AAMAAQ9DcmVhdGUgbmV3IHVzZXIDAAECAQAAAAAAAGCDQA==
ASSERTION	AAMAAQlHZXQgdXNlcnMDAAECAQAAAAAAAABpQA==
ASSERTION	AAMAAQhHZXQgdXNlcgMAAQIBAAAAAAAAQGVA
ASSERTION	AAMAAQtVcGRhdGUgdXNlcgMAAQIBAAAAAAAAUIRA
ASSERTION	AAECAAMBAAAAAAAAABRA
RUN	simulations.ReqresSimulation	reqressimulation	1606852013874	 	3.4.1
USER	Get users scenario	END	1606852035837
REQUEST		Get user	1606852035808	1606852035856	OK	 
USER	Get users scenario	START	1606852035951
REQUEST		Get users	1606852035950	1606852035979	OK	 
REQUEST		Get user	1606852035951	1606852036011	OK	 
USER	Get users scenario	START	1606852036094
REQUEST		Get user	1606852036094	1606852036141	OK	 
REQUEST		Get users	1606852036144	1606852036167	OK	 
USER	Get users scenario	END	1606852036183
USER	Get users scenario	START	1606852036236
REQUEST		Get user	1606852036236	1606852036286	OK	 
REQUEST		Get users	1606852036347	1606852036372	OK	 
USER	Get users scenario	START	1606852036379
REQUEST		Get user	1606852036379	1606852036424	OK	 
USER	Get users scenario	END	1606852036505
USER	Get users scenario	START	1606852036522
REQUEST		Get user	1606852036522	1606852036566	OK	 
REQUEST		Get users	1606852036565	1606852036581	OK	 
USER	Get users scenario	START	1606852036664
REQUEST		Get user	1606852036664	1606852036716	OK	 
REQUEST		Get users	1606852036744	1606852036765	OK	 
USER	Get users scenario	START	1606852036807
USER	Get users scenario	END	1606852036839
REQUEST		Get user	1606852036807	1606852036852	OK	 
USER	Get users scenario	START	1606852036951
REQUEST		Get users	1606852036954	1606852036973	OK	 
REQUEST		Get user	1606852036951	1606852037008	OK	 
USER	Get users scenario	START	1606852037093
REQUEST		Get user	1606852037094	1606852037146	OK	 
REQUEST		Get users	1606852037140	1606852037160	OK	 
USER	Get users scenario	END	1606852037173
USER	Get users scenario	START	1606852037204
REQUEST		Get user	1606852037205	1606852037254	OK	 
REQUEST		Get users	1606852037289	1606852037309	OK	 
USER	Get users scenario	START	1606852037316
REQUEST		Get user	1606852037316	1606852037371	OK	 
USER	Get users scenario	END	1606852037373
USER	Get users scenario	START	1606852037427
REQUEST		Get users	1606852037430	1606852037450	OK	 
REQUEST		Get user	1606852037427	1606852037478	OK	 
USER	Get users scenario	START	1606852037538
USER	Get users scenario	END	1606852037568
REQUEST		Get user	1606852037538	1606852037586	OK	 
REQUEST		Get users	1606852037578	1606852037597	OK	 
USER	Get users scenario	START	1606852037648
REQUEST		Get user	1606852037648	1606852037701	OK	 
REQUEST		Get users	1606852037712	1606852037730	OK	 
USER	Get users scenario	START	1606852037759
USER	Get users scenario	END	1606852037769
REQUEST		Get user	1606852037759	1606852037807	OK	 
USER	Get users scenario	START	1606852037870
REQUEST		Get users	1606852037857	1606852037879	OK	 
REQUEST		Get user	1606852037870	1606852037921	OK	 
USER	Get users scenario	END	1606852037980
USER	Get users scenario	START	1606852037981
REQUEST		Get users	1606852038012	1606852038030	OK	 
REQUEST		Get user	1606852037982	1606852038029	OK	 
